anime_id	name	genre	type	episodes	rating	members	episodes_num	members_num	rating_num	genre_list	genre_count
32281	Kimi no Na wa.	Drama, Romance, School, Supernatural	Movie	1	9.37	200630	1.0	200630	9.37	['Drama', 'Romance', 'School', 'Supernatural']	4
5114	Fullmetal Alchemist: Brotherhood	Action, Adventure, Drama, Fantasy, Magic, Military, Shounen	TV	64	9.26	793665	64.0	793665	9.26	['Action', 'Adventure', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']	7
28977	Gintama°	Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen	TV	51	9.25	114262	51.0	114262	9.25	['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']	7
9253	Steins;Gate	Sci-Fi, Thriller	TV	24	9.17	673572	24.0	673572	9.17	['Sci-Fi', 'Thriller']	2
9969	Gintama&#039;	Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen	TV	51	9.16	151266	51.0	151266	9.16	['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']	7
32935	Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou	Comedy, Drama, School, Shounen, Sports	TV	10	9.15	93351	10.0	93351	9.15	['Comedy', 'Drama', 'School', 'Shounen', 'Sports']	5
11061	Hunter x Hunter (2011)	Action, Adventure, Shounen, Super Power	TV	148	9.13	425855	148.0	425855	9.13	['Action', 'Adventure', 'Shounen', 'Super Power']	4
820	Ginga Eiyuu Densetsu	Drama, Military, Sci-Fi, Space	OVA	110	9.11	80679	110.0	80679	9.11	['Drama', 'Military', 'Sci-Fi', 'Space']	4
15335	Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare	Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen	Movie	1	9.1	72534	1.0	72534	9.1	['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']	7
15417	Gintama&#039;: Enchousen	Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen	TV	13	9.11	81109	13.0	81109	9.11	['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']	7
4181	Clannad: After Story	Drama, Fantasy, Romance, Slice of Life, Supernatural	TV	24	9.06	456749	24.0	456749	9.06	['Drama', 'Fantasy', 'Romance', 'Slice of Life', 'Supernatural']	5
28851	Koe no Katachi	Drama, School, Shounen	Movie	1	9.05	102733	1.0	102733	9.05	['Drama', 'School', 'Shounen']	3
918	Gintama	Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen	TV	201	9.04	336376	201.0	336376	9.04	['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']	7
2904	Code Geass: Hangyaku no Lelouch R2	Action, Drama, Mecha, Military, Sci-Fi, Super Power	TV	25	8.98	572888	25.0	572888	8.98	['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']	6
28891	Haikyuu!! Second Season	Comedy, Drama, School, Shounen, Sports	TV	25	8.93	179342	25.0	179342	8.93	['Comedy', 'Drama', 'School', 'Shounen', 'Sports']	5
199	Sen to Chihiro no Kamikakushi	Adventure, Drama, Supernatural	Movie	1	8.93	466254	1.0	466254	8.93	['Adventure', 'Drama', 'Supernatural']	3
23273	Shigatsu wa Kimi no Uso	Drama, Music, Romance, School, Shounen	TV	22	8.92	416397	22.0	416397	8.92	['Drama', 'Music', 'Romance', 'School', 'Shounen']	5
24701	Mushishi Zoku Shou 2nd Season	Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural	TV	10	8.88	75894	10.0	75894	8.88	['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']	7
12355	Ookami Kodomo no Ame to Yuki	Fantasy, Slice of Life	Movie	1	8.84	226193	1.0	226193	8.84	['Fantasy', 'Slice of Life']	2
1575	Code Geass: Hangyaku no Lelouch	Action, Mecha, Military, School, Sci-Fi, Super Power	TV	25	8.83	715151	25.0	715151	8.83	['Action', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']	6
263	Hajime no Ippo	Comedy, Drama, Shounen, Sports	TV	75	8.83	157670	75.0	157670	8.83	['Comedy', 'Drama', 'Shounen', 'Sports']	4
